1,2,30,35,38,49
1,14,26,34,35,45
14,18,21,27,32,43
15,17,23,26,33,41
10,18,22,28,37,40
2,5,11,41,47,49
3,17,20,35,38,42
1,20,26,31,38,39
2,6,32,33,36,46
2,10,18,32,45,48
10,12,15,31,39,48
15,19,20,26,33,42
5,12,23,34,37,44
8,14,24,30,34,45
15,19,22,23,30,46
5,11,23,28,40,48
2,15,27,31,38,42
5,24,26,29,30,41
7,11,15,38,40,44
1,13,19,31,42,49
8,14,21,35,37,40
12,16,23,27,34,43
3,10,17,36,44,45
10,13,20,29,35,48
4,5,21,38,42,45
8,13,20,24,42,48
5,6,26,30,43,45
2,16,21,34,37,45
5,8,13,40,43,46
9,21,29,31,32,33
5,13,21,24,43,49
9,11,12,31,45,47
17,21,22,24,27,44
7,17,21,30,39,41
13,14,20,27,32,49
6,10,15,35,40,49
6,11,18,35,40,45
6,11,13,34,43,48
12,15,29,30,33,36
11,16,20,29,32,47
6,15,22,32,39,41
11,17,19,26,40,42
5,20,21,32,38,39
3,8,28,30,42,44
3,11,23,28,44,46
1,22,23,29,31,49
1,19,22,36,37,40
15,18,29,30,31,32
7,20,22,25,37,44
1,13,25,33,35,48
5,11,15,37,40,47
1,15,17,32,43,47
7,13,27,33,34,41
6,13,21,26,43,46
1,18,22,35,36,43
11,21,24,25,27,47
12,14,15,34,38,42
4,10,22,34,38,47
3,15,25,31,36,45
5,21,25,27,37,40
11,15,23,28,30,48
5,8,33,34,35,40
12,13,14,29,43,44
1,16,26,35,37,40
2,6,23,33,45,46
5,10,23,25,43,49
6,16,20,33,39,41
12,15,22,30,37,39
7,16,28,30,33,41
11,18,21,26,37,42
14,18,20,27,35,41
2,16,28,34,35,40
3,21,24,26,35,46
9,11,24,25,40,46
12,14,16,31,35,47
2,4,25,30,46,48
3,7,23,38,41,43
5,11,23,25,42,49
5,7,22,31,43,47
4,5,26,32,42,46
9,13,15,31,41,46
7,23,25,27,33,40
6,7,10,41,43,48
7,11,15,33,44,45
13,14,15,31,37,45
8,18,22,23,40,44
10,13,21,29,33,49
6,10,25,31,34,49
12,17,24,33,34,35
4,8,22,31,41,49
5,15,30,34,35,36
2,3,17,41,43,49
4,10,27,32,38,44
16,17,22,30,32,38
18,20,21,24,29,43
3,16,23,31,38,44
12,16,17,33,36,41
8,10,24,25,43,45
4,23,29,30,33,36
2,13,29,33,37,41
7,13,23,31,34,47
12,13,14,25,43,48
15,16,18,23,41,42
1,5,26,36,40,47
11,16,22,25,37,44
4,23,28,31,34,35
3,6,25,32,43,46
7,22,23,32,33,38
4,16,20,26,43,46
11,21,23,29,33,38
1,15,16,38,42,43
6,10,15,37,41,46
11,16,19,22,43,44
10,13,26,33,36,37
6,7,22,32,40,48
4,16,21,23,42,49
12,17,21,23,36,46
7,13,16,31,40,48
8,15,26,30,32,44
2,20,22,29,39,43
4,15,28,32,35,41
1,10,12,39,45,48
10,13,19,30,35,48
5,15,21,30,37,47
9,18,20,23,41,44
11,12,22,27,38,45
2,18,23,32,35,45
11,17,18,31,38,40
5,19,21,30,36,44
3,4,11,44,46,47
14,16,17,31,33,44
7,22,24,25,34,43
10,17,23,29,33,43
5,15,23,32,39,41
12,14,16,33,38,42
4,10,16,36,40,49
19,20,21,24,29,42
10,16,17,33,39,40
3,16,26,32,36,42
1,14,23,38,39,40
2,8,30,33,36,46
1,6,20,38,41,49
8,12,28,31,35,41
14,21,23,24,35,38
4,15,21,27,42,46
11,12,16,28,42,46
4,16,21,24,42,48
6,10,25,31,39,44
4,5,11,41,46,48
10,15,17,33,37,43
6,11,22,25,43,48
13,16,26,27,30,43
3,9,21,37,42,43
3,6,21,37,40,48
1,6,29,30,40,49
8,16,21,32,33,45
10,18,21,24,33,49
4,24,26,27,31,43
2,13,21,29,41,49
13,14,16,31,35,46
2,13,22,35,37,46
1,10,18,38,41,47
6,10,26,30,38,45
9,13,21,22,41,49
9,11,21,24,41,49
3,16,31,34,35,36
3,9,22,34,42,45
1,18,20,32,36,48
8,13,26,30,36,42
8,13,24,33,34,43
4,8,24,31,41,47
5,11,32,34,36,37
1,17,20,37,38,42
1,11,23,26,45,49
1,11,17,36,44,46
11,14,19,33,34,44
9,14,21,31,33,47
6,11,21,24,46,47
5,12,22,27,44,45
2,14,18,33,43,45
1,4,27,36,42,45
4,10,24,34,36,47
12,16,25,29,33,40
3,18,27,31,36,40
9,12,23,25,42,44
2,6,22,31,46,48
2,12,18,36,42,45
2,7,23,33,43,47
11,16,19,20,40,49
11,15,23,28,32,46
4,10,21,25,47,48
4,18,20,34,35,44
6,12,15,32,44,46
11,12,14,28,44,46
9,12,15,37,40,42
13,15,26,31,32,38
14,16,18,20,40,47
11,23,25,28,32,36
1,16,18,30,41,49
9,14,27,30,33,42
6,9,14,40,42,44
4,11,15,32,45,48
5,20,23,28,38,41
3,9,22,32,41,48
13,15,21,25,33,48
10,11,16,25,45,48
1,23,24,26,36,45
16,17,20,32,34,36
5,8,22,34,40,46
2,5,26,35,41,46
4,5,10,43,44,49
5,8,12,40,42,48
12,13,17,31,33,49
4,5,23,30,44,49
5,10,25,35,36,44
7,15,21,32,34,46
1,12,27,31,38,46
1,3,15,40,47,49
6,19,25,32,33,40
14,15,20,26,34,46
3,12,18,31,42,49
9,14,25,30,36,41
4,21,25,29,32,44
13,18,20,26,30,48
7,14,20,34,38,42
11,23,26,27,33,35
6,12,15,36,40,46
7,22,23,25,36,42
4,17,27,30,36,41
5,10,21,29,42,48
1,7,30,33,37,47
11,12,16,26,41,49
2,16,31,32,35,39
5,10,19,35,40,46
1,11,23,25,47,48
9,12,17,32,41,44
6,10,22,34,37,46
2,14,21,28,41,49
8,13,24,30,32,48
3,15,18,34,40,45
9,10,14,33,43,46
9,19,21,32,34,40
1,22,27,28,33,44
5,12,27,30,33,48
6,11,17,36,40,45
4,11,27,29,41,43
5,17,20,25,41,47
6,11,15,34,40,49
2,4,22,31,47,49
14,20,23,26,33,39
2,5,23,37,40,48
4,11,12,31,48,49
1,19,23,25,43,44
4,13,17,35,40,46
3,11,29,32,35,45
16,19,21,22,30,47
2,13,28,30,35,47
10,11,23,27,38,46
3,21,26,30,37,38
12,13,22,28,34,46
7,12,13,35,41,47
7,24,25,29,30,40
6,14,23,30,39,43
5,21,23,27,31,48
3,17,20,30,36,49
5,19,21,34,35,41
12,17,21,27,34,44
7,12,28,30,36,42
10,16,17,21,43,48
1,9,23,33,43,46
7,15,16,31,40,46
14,18,24,25,33,41
6,8,20,33,43,45
3,18,26,27,40,41
1,3,22,33,47,49
14,17,20,22,38,44
10,22,28,29,31,35
5,14,21,34,36,45
3,18,25,27,40,42
11,13,21,34,37,39
2,3,24,39,43,44
11,12,20,29,37,46
1,15,23,34,38,44
9,10,14,32,42,48
3,18,21,32,33,48
3,4,22,31,46,49
10,11,24,25,38,47
2,16,20,33,37,47
10,12,13,29,45,46
4,11,22,35,36,47
1,20,22,24,39,49
2,11,19,34,41,48
10,21,28,29,32,35
10,17,21,26,34,47
2,5,20,32,47,49
1,11,15,38,43,47
15,23,24,26,32,35
10,18,24,25,37,41
17,21,23,25,34,35
3,8,13,40,42,49
11,14,18,31,34,47
18,21,22,24,27,43
3,12,26,30,39,45
15,18,23,31,33,35
3,10,29,30,35,48
2,17,27,32,36,41
20,21,24,25,28,37
3,10,22,33,38,49
6,10,28,30,35,46
6,14,31,32,35,37
9,21,23,26,33,43
2,7,22,36,42,46
11,14,25,26,32,47
1,11,20,29,46,48
8,13,24,27,40,43
16,21,25,26,31,36
11,12,14,28,41,49
11,14,26,30,36,38
2,7,27,33,42,44
6,14,23,26,41,45
1,18,20,34,35,47
4,11,13,35,44,48
6,11,28,32,37,41
1,20,22,29,37,46
14,20,23,27,32,39
13,21,23,24,36,38
3,14,24,28,40,46
16,18,20,30,34,37
3,20,21,27,38,46
5,23,24,26,32,45
4,8,10,40,44,49
6,7,20,39,41,42
3,17,20,22,46,47
4,18,26,30,31,46
1,23,27,32,33,39
2,11,26,34,38,44
12,19,25,26,31,42
7,16,20,34,37,41
3,10,16,36,41,49
2,8,15,40,44,46
7,10,13,30,47,48
14,15,21,28,33,44
1,13,15,34,43,49
10,12,16,22,47,48
12,15,16,31,33,48
6,10,26,33,35,45
16,20,23,27,34,35
11,12,14,32,38,48
11,15,16,30,34,49
10,12,18,32,35,48
1,6,25,31,44,48
10,16,27,30,35,37
2,6,22,36,41,48
7,21,22,27,36,42
10,16,19,21,42,47
4,14,23,36,38,40
1,11,27,30,37,49
11,16,25,26,36,41
1,16,28,32,35,43
13,20,24,28,33,37
12,19,20,24,39,41
6,10,11,38,44,46
9,20,21,23,33,49
3,17,20,37,38,40
2,16,24,27,41,45
10,19,21,26,32,47
8,14,24,30,33,46
3,8,33,35,36,40
1,13,19,32,42,48
13,14,21,25,38,44
4,9,24,32,42,44
7,13,21,34,36,44
1,10,18,31,47,48
1,8,17,40,41,48
5,20,22,25,36,47
1,12,24,29,40,49
11,13,16,24,45,46
7,19,20,27,40,42
10,12,23,28,35,47
4,11,12,38,43,47
1,8,10,43,46,47
6,10,28,34,35,42
10,17,24,26,33,45
13,16,26,31,33,36
12,16,27,30,31,39
9,22,25,30,34,35
2,11,18,35,41,48
4,12,24,26,43,46
13,15,17,30,33,47
4,23,25,28,30,45
9,17,24,30,33,42
4,8,20,35,41,47
4,19,24,26,40,42
5,20,23,24,38,45
5,23,25,29,32,41
3,15,18,32,43,44
2,10,26,29,41,47
8,20,21,27,36,43
5,15,23,33,39,40
2,5,23,38,40,47
3,10,24,29,43,46
3,15,17,33,43,44
5,11,22,34,37,46
10,17,20,26,37,45
4,16,23,31,35,46
3,6,24,31,43,48
4,16,23,25,41,46
3,22,28,32,34,36
4,7,20,36,42,46
3,13,25,33,39,42
2,10,20,36,38,49
4,8,20,30,44,49
15,16,17,33,34,40
12,18,20,27,38,40
6,11,28,33,34,43
2,18,22,27,41,45
7,13,20,33,34,48
1,12,25,32,36,49
4,10,23,25,46,47
13,19,24,26,30,43
5,12,17,36,41,44
10,18,27,31,33,36
5,11,23,26,41,49
2,3,26,36,40,48
2,13,24,31,39,46
1,3,25,36,42,48
1,3,28,39,40,44
3,17,21,29,42,43
5,15,20,32,36,47
10,12,17,22,45,49
5,15,24,31,34,46
3,5,31,33,35,48
11,12,15,30,39,48
4,19,20,35,37,40
3,11,19,35,40,47
11,14,16,20,46,48
17,22,23,24,34,35
2,12,14,33,46,48
14,17,21,26,34,43
6,13,22,24,44,46
3,22,23,34,36,37
5,13,16,34,42,45
11,13,15,24,43,49
4,15,29,30,31,46
6,13,15,30,42,49
5,18,20,32,38,42
6,21,22,26,33,47
6,22,23,26,33,45
15,16,22,31,35,36
13,18,20,27,33,44
13,14,19,33,34,42
15,19,20,21,31,49
12,21,24,25,36,37
13,14,17,29,40,42
9,17,20,21,42,46
12,16,25,27,30,45
5,16,23,29,40,42
1,7,28,33,40,46
8,12,21,30,36,48
7,20,21,26,37,44
3,19,20,32,36,45
11,19,20,27,33,45
1,18,21,34,37,44
2,12,23,33,39,46
3,22,23,25,36,46
6,16,23,30,36,44
1,8,25,35,42,44
15,19,23,28,30,40
4,10,17,35,42,47
5,23,25,30,33,39
9,15,20,29,40,42
7,20,22,26,38,42
2,15,24,32,33,49
5,13,20,28,44,45
2,12,30,34,38,39
11,19,24,27,33,41
2,10,16,32,46,49
4,19,22,32,34,44
10,19,21,30,36,39
3,10,13,36,44,49
10,22,25,29,31,38
12,15,23,32,35,38
2,4,17,42,43,47
5,10,17,35,40,48
2,13,28,30,37,45
5,18,21,31,39,41
11,14,17,28,41,44
3,14,19,37,40,42
1,3,28,36,40,47
3,5,20,36,43,48
13,18,20,25,34,45
10,11,16,33,37,48
11,15,21,26,34,48
9,16,23,31,33,43
12,14,15,31,39,44
2,8,30,33,38,44
12,14,21,35,36,37
12,14,25,27,32,45
3,4,10,45,46,47
9,10,27,30,36,43
2,15,27,31,38,42
12,18,24,30,34,37
3,6,26,37,41,42
5,16,22,32,37,43
12,19,21,22,37,44
10,11,15,32,38,49
3,7,23,39,40,43
11,12,22,29,39,42
11,17,20,28,32,47
1,8,22,39,42,43
1,6,15,43,44,46
2,15,18,33,43,44
3,19,22,30,33,48
4,5,25,35,42,44
13,18,28,30,31,35
6,16,26,31,33,43
2,25,26,27,34,41
12,13,20,24,38,48
4,11,18,34,41,47
4,10,26,32,39,44
8,12,26,30,35,44
8,13,15,36,40,43
1,8,24,37,42,43
6,14,23,26,42,44
12,14,16,26,41,46
8,14,20,31,36,46
3,15,24,30,35,48
10,13,21,29,39,43
9,13,27,31,33,42
2,6,21,39,40,47
11,16,17,25,42,44
10,15,24,26,38,42
6,15,27,31,36,40
6,10,22,27,42,48
6,13,20,25,44,47
5,6,30,31,37,46
12,16,18,22,40,47
9,12,21,34,38,41
7,13,21,22,43,49
8,12,16,32,40,47
6,14,21,28,41,45
7,15,25,31,34,43
